ocid,start_date,end_date,co2_pm
ocds-0c46vo-0001-3c22914a-fe6a-4a6a-a0b6-9ecd891a83db,2009-04-01,2021-10-31,0.1323616187989556
ocds-0c46vo-0001-14b3640f-ed84-409a-b28d-9fa52ab75ac2,2011-09-01,2025-08-31,13.385013690592606
ocds-0c46vo-0001-1effc4c9-d62b-4345-8148-665d67fccfa7,2012-09-24,2022-07-31,0.07229991242702252
ocds-0c46vo-0001-eb9d1f16-1a17-40b4-b81d-ddbb45efb336,2013-03-08,2021-03-07,0.006349707403628894
ocds-0c46vo-0001-5e94ce83-20db-44e9-a0bf-6ff4e782a5c8,2013-04-01,2021-03-31,1.363373960727833
ocds-0c46vo-0001-0aa8ad0c-d967-431f-9e30-0a45e033d450,2013-04-01,2024-03-31,112.44411127707244
ocds-0c46vo-0001-a3255b5e-9a2e-4836-bc55-c8244f1216a9,2013-04-01,2021-01-21,4.2660168302945305
ocds-0c46vo-0001-52a8e23a-ff0c-4c0a-b832-300d2b85e714,2013-04-23,2021-04-23,0.028290445673511293
ocds-0c46vo-0001-ff6094af-87b2-42c3-ac19-ce826f4c546c,2014-03-03,2022-07-31,0.17435422753125
ocds-0c46vo-0001-b5048596-167e-4137-912d-aeafec03d12b,2014-05-03,2021-04-04,0.10106814873417723
ocds-0c46vo-0001-f14abb52-ca87-4c47-9fb1-8710c47b7dab,2014-09-01,2023-02-18,0.2656050776196636
ocds-0c46vo-0001-ce865670-741b-4c44-9efb-a005fa51ac13,2014-09-03,2022-07-31,0.21290847432132964
ocds-0c46vo-0001-bd02c50d-647d-48a9-97ee-3ffa129dae18,2014-10-01,2021-09-30,0.5912635196338027
ocds-0c46vo-0001-92b2cb15-cc0c-4ed8-b9ff-1f08c9f9f024,2015-04-01,2022-03-31,1.7136169014084506
ocds-0c46vo-0001-7dc51886-8128-490e-a186-bf468e958c4e,2015-04-01,2023-03-31,57.272115713796644
ocds-0c46vo-0001-c79dd5fc-737f-40ba-85b0-61f31a15fbc4,2015-04-01,2022-03-31,0.16957667253521125
ocds-0c46vo-0001-e135e318-8757-4404-89f9-c0a9d247abb1,2015-05-12,2022-05-11,0.04260242018779343
ocds-0c46vo-0001-6da5a7b8-7b86-435e-8f89-cf47fdc3ac26,2015-05-31,2021-05-29,33.06453623506849
ocds-0c46vo-0001-44b001e1-4475-40fa-b3ce-933a7f4d0992,2015-06-01,2021-05-31,0.2834766444107074
ocds-0c46vo-0001-31eaf5c5-1cf6-4c01-9f39-289700ed6521,2015-06-12,2025-06-12,0.1099669035209417
ocds-0c46vo-0001-8fca8283-d47b-4971-ba77-63ff389bb3a3,2015-06-15,2025-06-14,0.014485828443318728
ocds-0c46vo-0001-89e1b48c-0ef2-4f44-9beb-d8ef9c8e187d,2015-07-01,2023-06-30,2.3007770849024305
ocds-0c46vo-0001-e657b9ee-58d2-4866-b517-27b4116c742d,2015-08-01,2021-07-31,44.36308425645941
ocds-0c46vo-0001-5805d906-ea8f-4076-9446-7f26008dbbb7,2015-09-01,2022-08-31,0.03671233809389671
ocds-0c46vo-0001-e3c2faaa-8127-412b-8383-8983ab5b236b,2015-09-09,2023-07-31,2.626090389354504
ocds-0c46vo-0001-7be143d2-f8dc-4d2f-bb4b-797e213a81ed,2015-09-18,2025-09-17,520.5486719605695
ocds-0c46vo-0001-bbd256f8-e8f1-442d-8e56-71157e009adb,2015-10-01,2021-09-30,0.020823847558192606
ocds-0c46vo-0001-08430f74-48a7-41df-87b0-c154c81b2c12,2015-10-08,2021-10-01,0.21585973312585813
ocds-0c46vo-0001-ca03a758-4657-42fa-8de9-c454b82aca31,2015-11-01,2022-10-30,0.008427628283365948
ocds-0c46vo-0001-165bf243-df16-4309-a444-9727774edfa4,2015-11-01,2025-10-31,1.890191351286966
ocds-0c46vo-0001-379e5759-f84a-4b84-ae2e-37d6112663de,2015-12-01,2022-11-30,0.5174644538534037
ocds-0c46vo-0001-6a3710fc-9c99-4d45-9d61-75bf0a375fa7,2015-12-01,2021-03-31,1.8746810477657934
ocds-0c46vo-0001-2e2c041d-a50f-42a1-beb1-28e323ab06d7,2015-12-01,2022-11-30,0.25995208415815724
ocds-0c46vo-0001-77852d49-c925-4e65-864c-4cf1e7cd0688,2015-12-01,2022-11-30,0.24633242957746476
ocds-0c46vo-0001-01d85d17-7121-4106-aa89-9df79d363d32,2015-12-07,2026-07-31,0.07021494580869117
ocds-0c46vo-0001-37b9cb3e-c80e-4bb9-8f11-8163429ad8d1,2015-12-11,2022-03-18,0.10125611795543907
ocds-0c46vo-0001-a7f4eacd-8904-4b73-87f3-dfe62ba49700,2016-01-01,2021-12-31,0.03470641259698768
ocds-0c46vo-0001-d94fcf89-abca-4c29-a8e5-e020b1a51e24,2016-01-04,2023-01-03,7.497073943661971
ocds-0c46vo-0001-87a8e990-514a-472b-8611-ca381b855fea,2016-01-10,2023-01-11,0.8323569194683347
ocds-0c46vo-0001-f7897472-369d-40fe-a958-42ede8dc3496,2016-01-25,2021-01-24,0.32480088305421684
ocds-0c46vo-0001-33c48ace-243f-4e3a-93a1-029f49ea6eae,2016-01-27,2021-03-31,0.17670654285714285
ocds-0c46vo-0001-b0bae494-b3e8-4bfb-804a-fa1dd24c080d,2016-02-01,2021-01-31,0.12243304764512594
ocds-0c46vo-0001-3d5c80ef-1ad3-4d77-b0db-e260312a6693,2016-02-01,2023-01-01,0.19266318289786222
ocds-0c46vo-0001-e10c5b61-6718-43bc-b78f-2130339e7f96,2016-02-02,2021-02-01,9.09502639649507
ocds-0c46vo-0001-190234b1-f681-4078-a6f5-e1cd496bbdb8,2016-02-05,2021-03-18,0.4950041113490364
ocds-0c46vo-0001-34543a1f-6981-4540-95d4-6483de70f5d1,2016-02-08,2021-02-08,0.299671921182266
ocds-0c46vo-0001-a0e2b380-66c5-4663-89f3-83265a55aacd,2016-02-17,2021-02-14,0.01250686677631579
ocds-0c46vo-0001-534eba0d-c54e-4c7b-a718-ee5f110f290a,2016-02-17,2021-02-15,0.009166676712328767
ocds-0c46vo-0001-8fbc9f26-327e-4db5-8402-9cb09e7e6ab3,2016-02-22,2021-02-21,3.9629768511982473
ocds-0c46vo-0001-db3f98b2-cc32-404e-895b-51b7d4ad9abf,2016-02-22,2021-05-22,0.005461035908141962
ocds-0c46vo-0001-bc9bd7ca-6830-4cf3-8447-950801dca847,2016-02-23,2028-02-22,1.5964949794614332
ocds-0c46vo-0001-d0828210-8f25-437c-a934-8034105f3ac3,2016-02-25,2021-02-24,0.8328778751369112
ocds-0c46vo-0001-9ea9f39b-4a31-4321-b7ac-d7c19f9f822f,2016-02-29,2022-07-31,0.07211638662542663
ocds-0c46vo-0001-c832d5c6-6a30-450d-b579-720abb6675c0,2016-02-29,2022-07-31,0.13648585776450514
ocds-0c46vo-0001-6fc9a385-537f-41c9-91cf-b06d48640900,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-f74ab2f1-1fe0-4919-b8cd-a45a7d56e8cb,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-7a4f2a2a-7bce-434b-a31a-2219b1f4d2bf,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-f7049638-b204-4fbd-a118-abcb19f12dfa,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-204cca6a-811d-46a4-8b46-643503eee0ac,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-23f2c263-119d-43c3-afde-46afb1c83ede,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-98c485cb-dcdc-4623-a01f-3160f4a293d3,2016-03-01,2021-02-28,6.324078430489315
ocds-0c46vo-0001-8b4168c2-4214-4f4e-bd13-367f3ff2a4f6,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-c1534d96-429b-4af3-9dbb-79d6fd8f7af3,2016-03-01,2021-02-28,0.1000001095890411
ocds-0c46vo-0001-f042a0c2-d6fd-4407-bdf7-d94ad1f2e315,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-3f513dcc-a3c6-47ea-8b03-2630e17a0033,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-aefd745d-e9b4-48f3-9c23-05e67f3a1ff1,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-eff3eb28-0604-4deb-845d-7342e563f3e9,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-66920d08-0929-4e58-92d6-5d03c6557cf8,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-4aa855ea-3d84-4a20-90d4-26555523d774,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-345bbd4f-0a86-44bf-a5ea-6449266ee18b,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-aa92224a-73b9-42bc-9b15-bb2616fa9cb6,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-cf2e92f7-6412-411d-8bd4-a5baa69a61f8,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-ff2325dd-e73f-4aba-b8f1-d7d42e782fef,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-5248dadb-8222-4e97-a78b-216a040cb9cc,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-72d101fa-e2d0-4fa7-a8e6-6f7d899fe096,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-6aa70cdd-991e-4f58-9f73-87acd09b72f8,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-f775aa05-6074-4733-b929-65871ce7d08a,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-5b38cf18-f4e8-47f5-bf61-9253efde3c34,2016-03-01,2021-02-28,0.5000005479452055
ocds-0c46vo-0001-a5e16de8-5f4a-44e8-b01f-9164dd6b3f95,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-afe971f2-0272-4a81-9366-dfd7fcd124bf,2016-03-01,2021-02-28,3.33333698630137
ocds-0c46vo-0001-82ef25bf-286a-4f4f-8b68-9ece9afa938d,2016-03-01,2021-02-28,3.33333698630137
