ocid,mnth,start_date,end_date,co2_pm
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2019-12-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-01-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-02-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-03-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-04-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-05-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-06-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-07-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-08-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-09-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-10-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-11-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2020-12-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-01-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-02-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-03-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-04-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-05-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-06-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-07-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-08-01,2019-12-02,2022-11-30,0.10985044031078611
ocds-0c46vo-0001-40020be6-f5ac-4ffb-8156-2a7ecf79d00e,2021-09-01,2019-12-02,2022-11-30,0.10985044031078611
