buyer_name_clean,ocid,start_date,end_date,co2_pm
ASHFORD BOROUGH COUNCIL,ocds-0c46vo-0001-0aa8ad0c-d967-431f-9e30-0a45e033d450,2013-04-01,2024-03-31,112.44411127707244
DERBY CITY COUNCIL,ocds-0c46vo-0001-e3c2faaa-8127-412b-8383-8983ab5b236b,2015-09-09,2023-07-31,2.626090389354504
SUFFOLK COUNTY COUNCIL,ocds-0c46vo-0001-c7ef4f04-1b89-4624-957b-6ee80b794f56,2016-09-01,2021-07-31,1.930850081438127
SUFFOLK COUNTY COUNCIL,ocds-0c46vo-0001-2d925eec-741e-4247-bb85-4a200758fa7b,2016-09-01,2021-07-31,1.8941771036789299
SUFFOLK COUNTY COUNCIL,ocds-0c46vo-0001-0fda1709-e1a0-4362-b052-92035095bc15,2016-09-01,2022-07-31,1.7677684495525707
DERBY CITY COUNCIL,ocds-0c46vo-0001-4c61cf74-099b-4564-9661-93bf96e1b0d5,2016-09-12,2021-07-31,0.8998192525071452
PLYMOUTH CITY COUNCIL,ocds-0c46vo-0001-7487aaf6-4cf8-40bc-97ad-777fc3232ec1,2017-04-01,2021-09-30,2.1567532258064515
THANET DISTRICT COUNCIL,ocds-0c46vo-0001-3ba38be5-f5e6-4430-bcae-7bff3356dd94,2017-04-01,2023-03-31,1.2250013424657533
LEEDS CITY COUNCIL,ocds-0c46vo-0001-12f60698-4ff4-40a7-91e8-1dc4ab7275a2,2017-06-12,2023-02-01,1233.4644101889628
NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT,ocds-0c46vo-0001-467727ff-2b76-4419-862c-1e02c7df51bb,2017-07-01,2022-06-30,580.7308424166641
RUSHMOOR BOROUGH COUNCIL,ocds-0c46vo-0001-1c1d89eb-8f6d-48b7-8ecb-3debd2630e39,2017-07-31,2027-07-30,1.5829013968775678
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-f384c501-93ce-4ac0-b7f4-d8e530380c78,2017-08-01,2022-07-31,0.8750849589961645
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-22ee476c-a3be-443f-a3f6-0dd7a84a327e,2017-08-01,2022-07-31,2.4565126920657536
DERBY CITY COUNCIL,ocds-0c46vo-0001-f7105f85-2e27-4fc2-b2d1-bd3ca23fa9fb,2017-09-01,2022-07-31,1.6412064758379932
TRANSPORT FOR GREATER MANCHESTER,ocds-0c46vo-0001-b0b2ab68-7cd9-4d81-b58f-b12054b28508,2017-09-01,2022-07-31,29.695783518762543
LIVERPOOL CITY COUNCIL,ocds-0c46vo-0001-fed1c9fd-bcf8-4e32-af69-2cceb880f5e5,2017-09-01,2021-07-30,3.3816213529411763
DERBY CITY COUNCIL,ocds-0c46vo-0001-36a44be5-d0eb-438e-aff2-c54717930f5e,2017-09-01,2022-07-31,0.9170980315149834
DERBY CITY COUNCIL,ocds-0c46vo-0001-edf5e669-d5cc-4833-9b89-fa6e797d38a0,2017-10-17,2021-10-16,4.08472322640411
HIGHWAYS AGENCY,ocds-0c46vo-0001-2eee0b7d-2da1-4d4b-9c53-3affed7f940e,2017-10-26,2021-10-30,95.41210114812287
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-e9401906-3eb0-440f-a123-8108f927a324,2017-11-13,2021-12-17,2.095409921755184
DERBY CITY COUNCIL,ocds-0c46vo-0001-0ea51f76-c475-4c1c-9792-7a6fc0bf7fc2,2017-12-01,2021-11-30,1.4583349315068495
WARRINGTON BOROUGH COUNCIL,ocds-0c46vo-0001-8dc396da-bb07-485b-bf5a-cd543c81957e,2018-01-01,2021-12-31,0.44375048630136993
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-fa114e26-0f52-46c9-8c1a-e178141cd7f1,2018-01-18,2021-07-31,2.0659871478139538
NOTTINGHAM CITY COUNCIL,ocds-0c46vo-0001-e3dd5dce-ea48-43c4-9ccb-a280fc32fb3b,2018-01-18,2022-01-17,0.7100007780821918
STAFFORDSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-5549a07a-3e80-4533-b5d3-cf7c9f38fd90,2018-01-24,2021-12-17,3.9501097399859453
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-89f75540-7f0e-4c15-a69e-fe057eef9a4c,2018-01-31,2021-07-31,0.8439312302584181
NORTH KESTEVEN DISTRICT COUNCIL,ocds-0c46vo-0001-fb3553f8-3601-4987-b1a7-40ef5ff8aac3,2018-02-01,2024-01-31,1.201417983287671
DERBY CITY COUNCIL,ocds-0c46vo-0001-f3835e47-2f03-452b-ab74-fac19d84e7e8,2018-02-01,2022-01-31,17.500019178082194
GLOUCESTERSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-3f3d56be-67a2-423e-ab76-1593b8d79757,2018-02-05,2021-07-31,1.7073525000000003
NORTH WEST LEICESTERSHIRE DISTRICT COUNCIL,ocds-0c46vo-0001-a8a16dc4-356c-4eb8-8a80-13905ad298b8,2018-02-05,2022-02-04,0.7291674657534247
SUFFOLK SOURCING,ocds-0c46vo-0001-6b151784-884a-4d39-b5b0-c8b82e810d85,2018-02-18,2022-09-25,1.9522400748555
LINCOLNSHIRE COUNTY COUNCIL,ocds-0c46vo-0001-bdc498cd-cf3a-45f4-9890-7ce2049240e8,2018-02-19,2023-07-22,2.693404164406266
