ocid,start_date,end_date,co2_pm
ocds-0c46vo-0001-3efcf28c-1bc6-4b61-b4d9-d1c3f30c96a7,2016-03-01,2021-02-28,64.16673698630137
ocds-0c46vo-0001-b7f094bd-04ba-44bc-a996-d3eec15d1f2b,2016-07-01,2021-06-30,1.000001095890411
ocds-0c46vo-0001-323201d8-e2f0-4c3e-8867-3c01bcdc8416,2016-10-01,2021-09-25,0.7905241836346154
ocds-0c46vo-0001-5e37d127-a916-4abc-8874-bb64f231f011,2017-01-17,2022-01-16,0.05387953571266849
ocds-0c46vo-0001-0ab9974a-80f2-4af9-82c5-a04908c65c79,2017-04-01,2022-03-31,0.7583341643835617
ocds-0c46vo-0001-27cc102c-2fbb-4e37-b475-de015574bfef,2017-05-01,2021-04-30,472.50051780821923
ocds-0c46vo-0001-445764b9-a27e-4d92-9666-c328f8dc6540,2017-05-15,2021-05-14,0.06666673972602741
ocds-0c46vo-0001-db49763c-6ca8-4b61-ae48-148259c6f73a,2017-05-15,2021-05-14,0.06666673972602741
ocds-0c46vo-0001-57bd4391-1783-4c26-986e-9292ad76c777,2017-07-04,2021-07-03,3.7500041095890415
ocds-0c46vo-0001-c55e993d-ea49-481b-aab8-e1950d0a1483,2017-09-01,2021-07-20,288.29368688293374
ocds-0c46vo-0001-db6f2d8a-c401-453f-a389-c205109d416f,2017-09-01,2021-07-23,11.651244295566505
ocds-0c46vo-0001-fed1c9fd-bcf8-4e32-af69-2cceb880f5e5,2017-09-01,2021-07-30,3.3816213529411763
ocds-0c46vo-0001-07fe7ed5-a3f3-4cde-a893-a09c4b71c611,2017-12-01,2027-11-30,10.83037797863599
ocds-0c46vo-0001-1657a6a7-9153-4bf5-a506-c55e5133b1a9,2018-02-28,2021-02-27,0
ocds-0c46vo-0001-6cc286d5-bb2f-4861-be15-508b3237196b,2018-03-01,2021-07-20,0.3717869878738884
ocds-0c46vo-0001-c1726a5d-1823-436c-8da6-8ee8e73f7192,2018-03-01,2022-02-28,0.024560651915753424
ocds-0c46vo-0001-9864a38c-835a-4815-ae65-efac2194e5f3,2018-03-30,2028-03-29,0
ocds-0c46vo-0001-70ce49d0-4783-40c4-969b-a2440606d2c8,2018-04-01,2023-03-31,0.23499937253327674
ocds-0c46vo-0001-e2cdb652-27f6-4085-a9cf-7d9cddbec9e0,2018-04-01,2021-03-31,0.07777786301369861
ocds-0c46vo-0001-5dc6cbd3-b46e-41af-a228-a25c40ea81d8,2018-04-23,2021-04-22,2.2222246575342464
ocds-0c46vo-0001-018532cf-e78a-47e1-9e85-7ea523844bd2,2018-05-04,2021-07-31,1.4138833062162162
ocds-0c46vo-0001-65546cc9-fd79-4e48-b834-71f4b336a5f7,2018-05-25,2021-06-30,0.0792043344434629
ocds-0c46vo-0001-08b80a6c-4b63-4027-85f8-2d64729b70ed,2018-06-01,2021-06-01,0.033558781188202554
ocds-0c46vo-0001-48925d80-c4ea-49d8-be6d-3a0b2797438f,2018-06-01,2022-05-31,5919.381486986302
ocds-0c46vo-0001-1038cd46-fc48-49b5-928f-ae70ae6de88b,2018-06-18,2021-07-30,1.5087538502636204
ocds-0c46vo-0001-5256ce2b-c0f0-4822-b097-1d1119f00691,2018-06-26,2021-07-25,0.14655396564394665
ocds-0c46vo-0001-93c2e8ec-a28f-466d-bca1-c87db1f2ef86,2018-06-26,2021-07-25,0.0897141783168
ocds-0c46vo-0001-aa83e2d3-c2f3-44f4-8d95-c12dfd70ca38,2018-07-31,2021-07-31,0.011656034671532846
ocds-0c46vo-0001-6b0de8fb-c311-41f3-9b08-5673c72d3249,2018-08-20,2021-08-19,4.0000043835616435
ocds-0c46vo-0001-0b99c483-a09c-4010-b983-06bd202cb4ab,2018-09-03,2021-07-29,1.9816939169999999
