buyer_name_clean,ocid,level1,start_date,end_date,co2_pm
HOME OFFICE,ocds-0c46vo-0001-940c1c40-17d2-4a7a-a70a-c83092dbff9b,Central Government,2005-10-01,2021-12-31,7.5170651785714286
HOME OFFICE,ocds-0c46vo-0001-835c2d8e-b49d-46b2-ab93-b9af448ee953,Central Government,2006-11-23,2021-11-23,1.0545936131386861
HOME OFFICE,ocds-0c46vo-0001-323e1a41-e1d0-4178-b579-85c129f26489,Central Government,2008-07-31,2023-07-31,5.801323507939405
DEPARTMENT FOR TRANSPORT,ocds-0c46vo-0001-08a0c6b4-ac0d-4ade-a961-39839b3c08ea,Central Government,2010-05-04,2021-09-30,0.21893018234165067176
MINISTRY OF JUSTICE,ocds-0c46vo-0001-e7003bd8-5120-41b8-914f-63ba78019fed,Central Government,2011-04-12,2026-09-29,75.8661985354911505
DEPARTMENT OF HEALTH,ocds-0c46vo-0001-5e82e9f9-9dde-487d-ab98-979a9996bac5,Central Government,2012-01-16,2022-04-30,17.2075317189994678
MINISTRY OF JUSTICE,ocds-0c46vo-0001-177fe55e-623b-4c99-9860-28cb50d9d558,Central Government,2013-12-01,2028-12-01,81.0123630240355839
HOME OFFICE,ocds-0c46vo-0001-1d57c169-efad-4800-b94d-88c464e97938,Central Government,2014-02-20,2024-02-19,0.0435062086856516977
HOME OFFICE,ocds-0c46vo-0001-2f0826e9-8ffe-4ab1-b15b-b4374283425c,Central Government,2014-02-20,2024-02-19,0.0126905601834611172
HOME OFFICE,ocds-0c46vo-0001-b27d4b30-4579-463b-8ef4-0aaf21d46ef8,Central Government,2014-03-19,2024-03-18,0.09871896939501779362
HOME OFFICE,ocds-0c46vo-0001-30fd3330-465f-4712-8810-a957560479e9,Central Government,2014-04-17,2024-04-16,0.37760905055461264725
HOME OFFICE,ocds-0c46vo-0001-848a3a65-ee38-4aee-b533-86b65998f04b,Central Government,2014-05-01,2024-04-30,0.00948696290145086231
HOME OFFICE,ocds-0c46vo-0001-ab807ea0-4620-4557-9889-a512ebf39043,Central Government,2014-05-01,2024-04-30,0.02433852242923624419
HOME OFFICE,ocds-0c46vo-0001-83a1dffe-a11d-4bc7-9be7-292342dd3d91,Central Government,2014-09-01,2022-08-31,133.6275942293685832
HOME OFFICE,ocds-0c46vo-0001-02227540-2d38-461a-b53c-d344f8738ab9,Central Government,2014-11-14,2023-04-25,34.5084116693679092
